year,ssb_ratio,ssb_t,low_ssb_ratio,high_ssb_ratio,recruitment_thousands,F_ratio,catches_t
1904,2.88794918593704,2986139.4582588994,2.2619930132194,4.31396872496882,28604266.9299236,0.0222109112774681,20104.0
1905,2.89664775938424,2995133.7832033043,2.26312721657034,4.32940396889132,28598611.0881569,0.0368645963662982,33402.0
1906,2.88982706104936,2988081.1811250383,2.25930408050748,4.313302006552,28571694.7437194,0.0409433078922252,37064.0
1907,2.87407179438263,2971790.2353916396,2.25248374580226,4.2871266416469,28562535.6461985,0.0600252095767794,53899.0
1908,2.85888019428644,2956082.1208921787,2.2320787082803,4.25698183538191,28592224.9011793,0.0677801554834969,60539.0
1909,2.83268360560284,2928994.8481933367,2.21693502839199,4.23344493796321,28573665.9426887,0.0579097899612254,50956.0
1910,2.81277507030671,2908409.422697138,2.20036049803114,4.23025893486973,28503533.2699909,0.0529956040688324,46499.0
1911,2.81124013269618,2906822.29720785,2.19397110925024,4.21569848405896,28537854.845195,0.0455461798288474,39896.0
1912,2.81241719724025,2908039.3819464184,2.19278948686941,4.2002965050675,28515899.1694372,0.0406167810751988,35571.0
1913,2.80709484709555,2902536.0718967984,2.18922805535238,4.20158176648121,28503700.2267773,0.0472149714254533,41262.0
1914,2.8051705198656,2900546.3175410302,2.18791052260383,4.19777279104162,28519751.1292765,0.0387082840172618,33908.0
1915,2.80468218662838,2900041.3809737447,2.19235921470891,4.21364800234291,28545755.5415924,0.039477143889527,34578.0
1916,2.80678071741342,2902211.261805476,2.19160770460801,4.19987876601644,28584431.2470801,0.0472671674415699,41322.0
1917,2.80301884354344,2898321.484223917,2.18880593266895,4.18794782303689,28558762.6187169,0.0557017603635057,48588.0
1918,2.79788590392085,2893014.024654159,2.18156965241294,4.2022848863195,28524308.3779746,0.0543061232270419,47308.0
1919,2.78853795070091,2883348.241024741,2.18116325581335,4.19911450118485,28547012.1758392,0.0502636899426843,43540.0
1920,2.78686150013652,2881614.791141161,2.17411692143459,4.19575778959075,28456264.0460363,0.0476390347168661,41328.0
1921,2.78184019026742,2876422.7567365123,2.17259313925945,4.17284139494326,28507104.7988124,0.0466910928973384,40591.0
1922,2.78553469497657,2880242.874605773,2.17312008926929,4.19541171024438,28542839.4445559,0.0457632300800202,39800.0
1923,2.79050477595328,2885381.9383356916,2.17347233535329,4.18893671564111,28498102.6378289,0.0480500067657103,41661.0
1924,2.78964641863002,2884494.3968634405,2.16513080830325,4.19124566956944,28489788.6837771,0.0484759527847721,42003.0
